Process Log at 2026-03-12 13:46:38.928760
----------------------------------------
Name: svchost.exe, PID: 4076, CPU: 0.0%, Memory: 23.53 MB
Name: svchost.exe, PID: 4116, CPU: 0.0%, Memory: 9.07 MB
Name: svchost.exe, PID: 4152, CPU: 0.0%, Memory: 21.97 MB
Name: LMS.exe, PID: 4236, CPU: 0.0%, Memory: 16.65 MB
Name: svchost.exe, PID: 4280, CPU: 0.0%, Memory: 13.71 MB
Name: wlanext.exe, PID: 4356, CPU: 0.0%, Memory: 5.77 MB
Name: spoolsv.exe, PID: 4364, CPU: 0.0%, Memory: 12.26 MB
Name: conhost.exe, PID: 4372, CPU: 0.0%, Memory: 4.46 MB
Name: bcmHostControlService.exe, PID: 4452, CPU: 0.0%, Memory: 7.14 MB
Name: svchost.exe, PID: 4460, CPU: 0.0%, Memory: 14.88 MB
Name: bcmHostStorageService.exe, PID: 4468, CPU: 0.0%, Memory: 8.19 MB
Name: LockApp.exe, PID: 4496, CPU: 0.0%, Memory: 63.07 MB
Name: svchost.exe, PID: 4564, CPU: 0.0%, Memory: 18.86 MB
Name: svchost.exe, PID: 4656, CPU: 0.0%, Memory: 20.57 MB
Name: svchost.exe, PID: 4752, CPU: 0.0%, Memory: 8.59 MB
Name: WmiPrvSE.exe, PID: 4844, CPU: 0.0%, Memory: 15.70 MB
Name: svchost.exe, PID: 4904, CPU: 0.0%, Memory: 15.49 MB
Name: svchost.exe, PID: 4912, CPU: 0.0%, Memory: 56.85 MB
Name: svchost.exe, PID: 4928, CPU: 0.0%, Memory: 40.11 MB
Name: OneApp.IGCC.WinService.exe, PID: 4972, CPU: 0.0%, Memory: 31.63 MB
Name: IntelAudioService.exe, PID: 4996, CPU: 0.0%, Memory: 18.57 MB
Name: esif_uf.exe, PID: 5032, CPU: 0.0%, Memory: 5.88 MB
Name: jhi_service.exe, PID: 5068, CPU: 0.0%, Memory: 5.36 MB
Name: svchost.exe, PID: 5080, CPU: 0.0%, Memory: 12.28 MB
Name: svchost.exe, PID: 5124, CPU: 0.0%, Memory: 5.57 MB
Name: RtkAudUService64.exe, PID: 5164, CPU: 0.0%, Memory: 11.76 MB
Name: svchost.exe, PID: 5172, CPU: 0.0%, Memory: 4.66 MB
